im,Date,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
0,2023-11-24,Male,34,Beauty,3,50,150
1,2023-02-27,Female,26,Clothing,2,500,1000
2,2023-01-13,Male,50,Electronics,1,30,30
3,2023-05-21,Male,37,Clothing,1,500,500
4,2023-05-06,Male,30,Beauty,2,50,100
5,2023-04-25,Female,45,Beauty,1,30,30
6,2023-03-13,Male,46,Clothing,2,25,50
7,2023-02-22,Male,30,Electronics,4,25,100
8,2023-12-13,Male,63,Electronics,2,300,600
9,2023-10-07,Female,52,Clothing,4,50,200
10,2023-02-14,Male,23,Clothing,2,50,100
11,2023-10-30,Male,35,Beauty,3,25,75
12,2023-08-05,Male,22,Electronics,3,500,1500
13,2023-01-17,Male,64,Clothing,4,30,120
14,2023-01-16,Female,42,Electronics,4,500,2000
15,2023-02-17,Male,19,Clothing,3,500,1500
16,2023-04-22,Female,27,Clothing,4,25,100
17,2023-04-30,Female,47,Electronics,2,25,50
18,2023-09-16,Female,62,Clothing,2,25,50
19,2023-11-05,Male,22,Clothing,3,300,900
20,2023-01-14,Female,50,Beauty,1,500,500
21,2023-10-15,Male,18,Clothing,2,50,100
22,2023-04-12,Female,35,Clothing,4,30,120
23,2023-11-29,Female,49,Clothing,1,300,300
24,2023-12-26,Female,64,Beauty,1,50,50
25,2023-10-07,Female,28,Electronics,2,500,1000
26,2023-08-03,Female,38,Beauty,2,25,50
27,2023-04-23,Female,43,Beauty,1,500,500
28,2023-08-18,Female,42,Electronics,1,30,30
29,2023-10-29,Female,39,Beauty,3,300,900
30,2023-05-23,Male,44,Electronics,4,300,1200
31,2023-01-04,Male,30,Beauty,3,30,90
32,2023-03-23,Female,50,Electronics,2,50,100
33,2023-12-24,Female,51,Clothing,3,50,150
34,2023-08-05,Female,58,Beauty,3,300,900
35,2023-06-24,Male,52,Beauty,3,300,900
36,2023-05-23,Female,18,Beauty,3,25,75
37,2023-03-21,Male,38,Beauty,4,50,200
38,2023-04-21,Male,23,Clothing,4,30,120
39,2023-06-22,Male,45,Beauty,1,50,50
40,2023-02-22,Male,34,Clothing,2,25,50
41,2023-02-17,Male,22,Clothing,3,300,900
42,2023-07-14,Female,48,Clothing,1,300,300
43,2023-02-19,Female,22,Clothing,1,25,25
44,2023-07-03,Female,55,Electronics,1,30,30
45,2023-06-26,Female,20,Electronics,4,300,1200
46,2023-11-06,Female,40,Beauty,3,500,1500
47,2023-05-16,Male,54,Electronics,3,300,900
48,2023-01-23,Female,54,Electronics,2,500,1000
49,2023-08-24,Female,27,Beauty,3,25,75
50,2023-10-02,Male,27,Beauty,3,25,75
51,2023-03-05,Female,36,Beauty,1,300,300
52,2023-07-13,Male,34,Electronics,2,50,100
53,2023-02-10,Female,38,Electronics,3,500,1500
54,2023-10-10,Male,31,Beauty,4,30,120
55,2023-05-31,Female,26,Clothing,3,300,900
56,2023-11-18,Female,63,Beauty,1,30,30
57,2023-11-13,Male,18,Clothing,4,300,1200
58,2023-07-05,Male,62,Clothing,1,50,50
59,2023-10-23,Male,30,Beauty,3,50,150
60,2023-04-09,Male,21,Beauty,4,50,200
61,2023-12-27,Male,18,Beauty,2,50,100
62,2023-02-05,Male,57,Electronics,2,25,50
63,2023-01-24,Male,49,Clothing,4,25,100
64,2023-12-05,Male,51,Electronics,4,500,2000
65,2023-04-27,Female,45,Electronics,1,30,30
66,2023-05-29,Female,48,Beauty,4,300,1200
67,2023-02-10,Male,25,Electronics,1,300,300
68,2023-04-30,Female,56,Beauty,3,25,75
69,2023-02-21,Female,43,Clothing,1,300,300
70,2023-07-14,Female,51,Beauty,4,25,100
71,2023-05-23,Female,20,Electronics,4,500,2000
72,2023-08-21,Male,29,Electronics,3,30,90
73,2023-11-22,Female,18,Beauty,4,500,2000
74,2023-07-06,Male,61,Beauty,4,50,200
75,2023-03-25,Female,22,Electronics,2,50,100
76,2023-07-09,Female,47,Clothing,2,50,100
77,2023-07-01,Female,47,Clothing,3,500,1500
78,2023-04-18,Male,34,Beauty,1,300,300
79,2023-12-10,Female,64,Clothing,2,30,60
80,2023-05-17,Male,40,Electronics,1,50,50
81,2023-12-26,Female,32,Beauty,4,50,200
82,2023-12-16,Male,54,Electronics,2,50,100
83,2023-11-28,Female,38,Electronics,3,30,90
84,2023-02-06,Male,31,Clothing,3,50,150
85,2023-11-08,Male,19,Beauty,3,30,90
86,2023-11-22,Female,28,Beauty,2,50,100
87,2023-03-29,Male,56,Clothing,1,500,500
88,2023-10-01,Female,55,Electronics,4,500,2000
89,2023-05-06,Female,51,Electronics,1,30,30
90,2023-03-25,Female,55,Electronics,1,500,500
91,2023-08-25,Female,51,Electronics,4,30,120
92,2023-07-14,Female,35,Beauty,4,500,2000
93,2023-05-19,Female,47,Beauty,2,500,1000
94,2023-11-24,Female,32,Clothing,2,30,60
95,2023-12-19,Female,44,Clothing,2,300,600
96,2023-10-13,Female,51,Beauty,2,500,1000
97,2023-04-23,Female,55,Beauty,2,50,100
98,2023-12-17,Female,50,Electronics,4,300,1200
99,2023-06-16,Male,41,Electronics,1,30,30
100,2023-01-29,Male,32,Clothing,2,300,600
101,2023-04-28,Female,47,Beauty,2,25,50
102,2023-01-17,Female,59,Clothing,1,25,25
103,2023-06-11,Female,34,Beauty,2,500,1000
104,2023-07-25,Female,22,Electronics,1,500,500
105,2023-05-18,Female,46,Clothing,1,50,50
106,2023-02-03,Female,21,Clothing,4,300,1200
107,2023-04-19,Female,27,Beauty,3,25,75
108,2023-10-18,Female,34,Electronics,4,500,2000
109,2023-06-11,Male,27,Clothing,3,300,900
110,2023-04-19,Female,34,Electronics,3,500,1500
111,2023-12-02,Male,37,Clothing,3,500,1500
112,2023-09-13,Female,41,Electronics,2,25,50
113,2023-07-22,Female,22,Beauty,4,25,100
114,2023-11-26,Male,51,Clothing,3,500,1500
115,2023-08-23,Female,23,Clothing,1,30,30
116,2023-03-15,Male,19,Electronics,2,500,1000
117,2023-05-16,Female,30,Electronics,4,500,2000
118,2023-03-13,Female,60,Clothing,3,50,150
119,2023-05-07,Male,60,Beauty,1,50,50
120,2023-10-15,Female,28,Electronics,4,50,200
121,2023-10-03,Male,64,Electronics,4,30,120
122,2023-05-15,Female,40,Electronics,2,30,60
123,2023-10-27,Male,33,Clothing,4,500,2000
124,2023-08-08,Male,48,Clothing,2,50,100
125,2023-10-26,Female,28,Clothing,3,30,90
126,2023-07-24,Female,33,Clothing,2,25,50
